1,동해어가,flex73,물회가 먹고 싶어서 맛집 찾던 중 발견 푸짐하고 맛있었어요 다음에는 코스로 먹어봐야겠어요 매장은 2층에 있고 주차장은 따로 있지 않아요,5.20.토,1
2,동해어가,ltk3786,코스메뉴 활어 싱싱하고 함께 나오는 기본 메뉴 모두 가성비 좋게 잘 나오네요 든든하고 기분좋게 잘 먹었습니다,4.18.화,3
3,동해어가,하매미,기본 반찬으로 고등어조림에 회까지ㅎㅎ 반찬 정말 잘나오구 맛있어요 알탕주문했는데 알탕도 알이정말 싱싱하고 맛있어요 대추천,2.7.화,1
4,동해어가,트로이32,굿,9.13.수,9
5,동해어가,방문식객,음식 맛도 반찬도 가격도 적당합니다. 봄에 도다리쑥국을 못 먹어 아쉽네요~,4.27.목,1
6,동해어가,트로이32,굿,7.26.수,8
7,동해어가,Moon9u,굳,6.1.목,2
8,동해어가,긍정의힘504,ㅎ,3.23.목,1
9,동해어가,위니야,"점심 메뉴가 풍부해요. 밑반찬이 괜찮은데, 아주 맛있다고 하긴 애매.. 꼬막비빔밥의 꼬막은 질기고 신선하지 않은 듯..",22.11.28.월,1
10,동해어가,mono5678,인사동 청계천 놀러갔다가 친구들과 한잔하러 드렸어요 종로에서 알아주는 횟집답게 각종 수산물 먹거리 잘 나왔구요 한잔하기 딱 좋은집으로 역시 손색없네요,22.10.8.토,4
11,동해어가,meera,맛있어요^^,3.9.목,1
12,동해어가,smcpro,연휴라서 지인들하고 오랜만에 얼굴도 보고 식사하러 모였네요 싱싱한 활어 각종 해산물 밑반찬 가성비 좋게 잘 나와서 모임 제대로 즐겁게 치뤘답니다,22.10.10.월,4
13,동해어가,Likewind94,맛있어요,3.23.목,1
14,동해어가,Moon9u,굳,2.20.월,1
15,동해어가,레미0,맛있어요,2.4.토,1
16,동해어가,행복한 새로운 삶,맛있어요,2.4.토,1
17,동해어가,jun****,메뉴가 다양하네요,22.12.26.월,2
18,동해어가,향기5540,연말이라 손님이 많아서 그랬는지 모르겠지만 직원들끼리 싸우고 불러도 못들은척해서 정말 불쾌했습니다.,22.12.2.금,1
19,동해어가,NO87,좋아요,4.4.화,10
20,동해어가,67a****,오랫만에 지인들과 모임 벗들도 좋고 음식도 맛있고 직원분들 친절..맛있게 잘먹었습니다,22.9.14.수,1
21,동해어가,clo****,굿,22.12.19.월,1
22,동해어가,oko****,좋아요,22.12.13.화,3
23,동해어가,oko****,담모임장소 답사갔다가 c코스 먹었는데 음식맛도 좋고 스키다시도 잘나와서 만족했습니다 6월모임 예약하고 왔어요,22.4.30.토,1
24,동해어가,트로이32,굿,22.10.7.금,7
25,동해어가,bst****,손님 모시고 가기 좋아요,22.7.6.수,1
26,동해어가,luxury cho,맛있어요,22.9.30.금,1
27,동해어가,bar****,굿,22.9.23.금,1
28,동해어가,트로이32,굿,22.9.21.수,6
29,동해어가,건물재벌,ㅇㅇ,22.9.1.목,1
30,동해어가,똘왕국찐공쥬,사이드가 맛잇다,22.3.24.목,1
31,동해어가,NO87,좋아요,22.10.24.월,4
32,동해어가,Jiu1230,"오랜만에 맛있게 잘먹었네요 코스메뉴라 가지수도많고 신선하고 맛있음,, 사장님도 친절해서 기분좋게 잘먹었씁니다 거리두기 제한좀 풀리면 가족들하고 또올께요",22.1.21.금,5
33,동해어가,트로이32,굿,22.7.28.목,5
34,동해어가,산소같은여자5,조아요,22.6.18.토,1
35,동해어가,트로이32,굿,22.7.21.목,4
36,동해어가,트로이32,굿,22.6.28.화,3
37,동해어가,트로이32,굿,22.6.28.화,2
38,동해어가,트로이32,굿,22.6.25.토,1
39,동해어가,먹방여행자,사장님스끼다시도잘챙겨주시고~활어회도신선하니진짜맛나요~,22.5.21.토,3
40,동해어가,oko****,굿~,22.6.17.금,2
41,동해어가,Terary91122,"스페셜메뉴 가성비 최고네요,, 신선하고 가격도괜찮고,, 잘먹고갑니다",22.1.25.화,3
42,동해어가,NO87,좋아요,22.8.2.화,3
43,동해어가,choikyungmi,좋아요,22.5.4.수,1
44,동해어가,mono5678,싱싱한 횟감에 스끼다시까지 가성비 좋게 좋은시간보냈구요 서비스도 좋네요,21.12.18.토,3
45,동해어가,lmh****,굿,22.7.23.토,3
46,동해어가,NO87,굿,22.7.4.월,2
47,동해어가,smcpro,회식모임으로 동해A코스 주문해서 푸짐하게 모임식사했네요,21.12.17.금,3
48,동해어가,Jiu1230,"코스 가성비좋네요,, 해산물종류도 다양하고 신선한게 맛있고 회식하기 딱좋음,,",21.11.22.월,4
49,동해어가,쫑8347,맛있게 먹었습니다~~~다음에 또 놀러올게요,21.11.26.금,1
